Turno;Curso;Unidade de execução;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Slots;Características pedidas;Sala da aula;Lotação
02670TP02;MGE;Contabilidade e Reporte Financeiro (6ects);MGEA2;28;;;Seg;08:00:00;09:30:00;3;Sala Aulas Mestrado Plus;;
02670TP02;MGE;Contabilidade e Reporte Financeiro (6ects);MGEA2;28;;;Seg;09:30:00;11:00:00;3;Sala Aulas Mestrado Plus;;
02671TTP01;MSCA;Desenvolvimento de Software de Código Aberto;MSCA-A1;16;;;Sex;21:30:00;23:00:00;3;Laboratório de Informática;;
02671TTP01;MSCA;Desenvolvimento de Software de Código Aberto;MSCA-A1;16;;;Sex;19:30:00;21:30:00;4;Laboratório de Informática;;
02674TTP01;MIG;Tecnologias e Sistemas Cloud;MIGA1;20;;;Qua;21:00:00;22:30:00;3;Sala Aulas Mestrado;;
02674TTP01;MIG;Tecnologias e Sistemas Cloud;MIGA1;20;;;Qui;21:00:00;22:30:00;3;Sala Aulas Mestrado;;
02675T01;MIG;Seminário em Informática de Gestão;MIGB1;22;;;Qui;18:00:00;22:00:00;8;Sala Aulas Mestrado;;
02677TP01;ISCTE-IUL;Seminário em Métodos de Pesquisa e Análise na Internet;SEMIN_15;6;;;Seg;14:00:00;16:00:00;4;Sala de Aulas normal;;
02683TP01;MDE;Seminário sobre Temas de Direito das Sociedades Comerciais (6 Ects);MDEDSCB1;37;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02683TP01;MDE;Seminário sobre Temas de Direito das Sociedades Comerciais (6 Ects);MDEDSCB1;37;;;Qui;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02684TP01;MDE;Seminário sobre Temas de Direito do Trabalho (6 Ects);MDEDTB1;18;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02796TP02;PC;Introdução à Antropologia: Portugal Estudo de Campo;PCA1;12;;;Ter;14:30:00;17:30:00;6;Sala Aulas Mestrado;;
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;Sex;15:00:00;22:00:00;14;Sala Aulas Mestrado;;
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;Sáb;14:00:00;16:30:00;5;Sala Aulas Mestrado;;
