Turno;Curso;Unidade de execução;Turmas;Inscritos;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;slots;Dia da Semana;Inicio;Fim;Características da sala pedida para a aula;Sala;Lotação;Turno
00673-6TP05;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Métodos e Técnicas de Estudo;CI-CT4;28;;;2;Sex;;;Sala de Aulas normal;;;1
00676-6TP02;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Organização Pessoal e Gestão do Tempo;CI-CT1;34;;;3;Qua;;;Sala de Aulas normal;;;1
00677-6TP01;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Pensamento Crítico;CI-CT1;33;;;2;Qua;;;Sala de Aulas normal;;;1
00677-6TP02;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Pensamento Crítico;CI-CT2;31;;;2;Qua;;;Sala de Aulas normal;;;1
00678-5TP01;"ISCTE-IUL, LCP, LP, LS, LS-PL, MIA";Pesquisa Bibliográfica e Análise da Informação;CI-CT1;39;;;2;Ter;;;Sala de Aulas normal;;;1
00691T01;MSCA;Introdução ao Software de Código Aberto;MSCA-A1;11;;;6;Sáb;;;Laboratório de Informática;;;1
00692T01;MSCA;Sistemas Operativos de Código Aberto;MSCA-A1;11;;;3;Sex;;;Laboratório de Informática;;;0
00692TP02;MSCA;Sistemas Operativos de Código Aberto;MSCA-A1;11;;;3;Sáb;;;Laboratório de Informática;;;1
00693T01;MSCA;Disseminação de Software de Código Aberto;MSCA-A1;12;;;6;Sáb;;;Sala Aulas Mestrado;;;1
00701T01;MSCA;Modelos de Negócio e Economia do Software de Código Aberto;MSCA-A1;16;;;6;Sáb;;;Sala Aulas Mestrado;;;1
00707-2T01;"PGIAO, MIASIC, MIG";Sistemas Colaborativos;"PGIAOA1, MIGB1, MIGA1";29;;;4;Seg;;;Sala Aulas Mestrado;;;0
00707-2TP02;"PGIAO, MIASIC, MIG";Sistemas Colaborativos;"MIGB1, MIGA1";8;;;3;Ter;;;Laboratório de Informática;;;0
00707-2TP02;"PGIAO, MIASIC, MIG";Sistemas Colaborativos;"MIGB1, MIGA1";8;;;3;Qui;;;Laboratório de Informática;;;0
00707-2TP03;"PGIAO, MIASIC, MIG";Sistemas Colaborativos;PGIAOA1;21;;;4;Qua;;;Laboratório de Informática;;;0
00712S01;MIASIC;Seminário de Projecto em Informática Aplicada à Sociedade da Informação e do Conhecimento II;MIASICB1;13;;;9;Seg;;;Laboratório de Informática;;;0
00712S01;MIASIC;Seminário de Projecto em Informática Aplicada à Sociedade da Informação e do Conhecimento II;MIASICB1;13;;;8;Qua;;;Laboratório de Informática;;;0
00712S01;MIASIC;Seminário de Projecto em Informática Aplicada à Sociedade da Informação e do Conhecimento II;MIASICB1;13;;;9;Qui;;;Laboratório de Informática;;;0
00715TTP01;MIG;Metodologias de Investigação em Informática e Gestão;"MIGB1, MIGA1";35;;;6;Qua;;;Sala Aulas Mestrado;;;0
00730TP01;"MPCPCJR, MPCPM, MPRI, MPSS";Métodos Qualitativos em Psicologia;"MPSSB1, MPSSA1, MPCPMB1, MPCPCJRA1, MPRIB1, MPRIA1";34;;;8;Qui;;;Sala Aulas Mestrado;;;0
00750TP01;MGST;Gestão da Inovação e da Tecnologia;MGSTA1;24;;;6;Ter;;;Sala Aulas Mestrado;;;1
00753TS01;"METI, MEI";Introdução à Investigação em Engenharia;METIB2;5;;;3;Qui;;;Sala Aulas Mestrado;;;1
00753TS02;"METI, MEI";Introdução à Investigação em Engenharia;"METIB1, MEI-SIGCB1, MEI-MB1";72;;;3;Qui;;;Sala Aulas Mestrado;;;0
00754TP01;MA;Questões do Conhecimento Antropológico;MAGMMA1;23;;;4;Ter;;;Sala Aulas Mestrado;;;0
00774TP01;"MEECult, MEU, MGEC, MHMC";Inventário e Interpretação Patrimonial;"MEEC-PPC-A1, MHMCCPA1";19;;;4;Ter;;;Sala Aulas Mestrado;;;0
00785TP01;MDE;Negociação Empresarial;"MDEDTA1, MDEDSCA1";48;;;4;Ter;;;Sala Aulas Mestrado;;;0
00788-1TP02;MDE;Metodologias de Investigação em Direito;"MDEDTA1, MDEDSCA1";45;;;4;Qui;;;Sala Aulas Mestrado;;;0
00813TP01;"LA, LA-PL";Museus e Colecções;"LAPLB1, A-PLC1, A-C1, A-B1";34;;;3;Seg;;;Sala de Aulas normal;;;0
00813TP01;"LA, LA-PL";Museus e Colecções;"LAPLB1, A-PLC1, A-C1, A-B1";34;;;3;Qua;;;Sala de Aulas normal;;;0
00831-1PL01;LS;Laboratório de Elaboração de Projectos em Sociologia;SC2;18;;;6;Sex;;;Laboratório de Informática;;;1
00831-1PL02;LS;Laboratório de Elaboração de Projectos em Sociologia;SC1;18;;;6;Sex;;;Laboratório de Informática;;;1
00831-1PL03;LS;Laboratório de Elaboração de Projectos em Sociologia;SC3;19;;;6;Sex;;;Laboratório de Informática;;;1
00831PL02;LS-PL;Laboratório de Elaboração de Projectos em Sociologia;"S-PL-C2, S-PL-C1";17;;;6;Sex;;;Laboratório de Informática;;;0
00842-2T01;"PGIAO, MAP, MIASIC";Sociedade da Informação e do Conhecimento;MAPA1;18;;;4;Sex;;;Sala Aulas Mestrado;;;0
00842-2TP02;"PGIAO, MAP, MIASIC";Sociedade da Informação e do Conhecimento;MAPA1;18;;;4;Sex;;;Sala Aulas Mestrado;;;0
00931TP01;MMA;Mercado da Arte Internacional;MMA-B1;20;;;5;Seg;;;Não necessita de sala;;;0
00961S01;DPP;Metodologias em Políticas Públicas: o Método Comparativo;DPPA1;21;;;4;Seg;;;Sala Aulas Mestrado;;;0
00964S01;DPP;Seminário de Projecto de Investigação em Políticas Públicas;DPPA1;23;;;4;Ter;;;Sala Aulas Mestrado;;;0
01016TP01;PGSRL;Gestão de Recursos Humanos e Segurança no Trabalho;PG-SRLA1;17;;;9;Qui;;;Sala Aulas Mestrado;;;0
01027T01;MPDRH;Comportamento Organizacional (2º Ciclo);MPDRHA1;32;;;4;Ter;;;Sala Aulas Mestrado;;;0
01069TP01;DF;Investimentos I;DFA1;3;;;6;Qui;;;Sala Aulas Mestrado;;;0
01109-1TP01;"LE, LFC, LGM";Economia do Ambiente e dos Recursos Naturais;"GMKC1, FCC2, FCC1, EC2, EC1";46;;;3;Ter;;;Sala de Aulas normal;;;1
